"","X1","X2","X3","X4","X5"
"83","2000-01-16","Suns","","• Rex Chapman","sore right ankle (DNP)"
"84","2000-01-17","Hawks","","• Vernell Coles / Bimbo Coles","flu (DNP)"
"85","2000-01-17","Mavericks","","• Gary Trent","strained left groin (DNP)"
"86","2000-01-17","Mavericks","","• Steve Nash","sprained right ankle (DNP)"
"87","2000-01-17","Rockets","","• Carlos Rogers","strained right thumb (DNP)"
"88","2000-01-17","Timberwolves","","• Terrell Brandon","strained right calf / Achilles tendon (DNP)"
"89","2000-01-17","Warriors","","• Adonal Foyle","sprained right knee (DNP)"
"90","2000-01-17","Warriors","","• Erick Dampier","recovering from left knee surgery (DNP)"
"91","2000-01-18","Jazz","","• Jeff Hornacek","sore back and knee (DTD)"
"92","2000-01-18","Pacers","","• Al Harrington","sprained left ankle (DTD)"
"93","2000-01-19","Jazz","","• Jeff Hornacek","sore back and knee (DNP)"
"94","2000-01-19","Mavericks","","• Steve Nash","sprained right ankle (DNP)"
"95","2000-01-19","Pacers","","• Al Harrington","sprained left ankle (DNP)"
"96","2000-01-19","Timberwolves","","• Terrell Brandon","strained left hamstring & right calf (DNP)"
"97","2000-01-20","Jazz","","• Jeff Hornacek","sore back and knee (DNP)"
"98","2000-01-20","Kings","","• Chris Webber","strained neck (DNP)"
"99","2000-01-20","Rockets","","• Carlos Rogers","surgery on right hand to repair torn ligament"
"100","2000-01-20","Rockets","","• Carlos Rogers","sprained right thumb (DNP)"
"101","2000-01-21","Cavaliers","","• Zydrunas Ilgauskas","will undergo surgery to repair broken left foot (out for season)"
"102","2000-01-21","Celtics","","• Calbert Cheaney","birth of child (DNP)"
"103","2000-01-21","Celtics","","• Eric Williams","sore right knee (DNP)"
"104","2000-01-21","Hawks","","• Dion Glover","flu (DTD)"
"105","Date","Team","Acquired","Relinquished","Notes"
"106","2000-01-21","Lakers","","• Tyronn Lue","surgery on right knee to remove bone fragments and tissue"
"107","2000-01-21","Nets","","• Sherman Douglas","surgery on left ankle (out 2 months)"
"108","2000-01-21","Suns","","• Oliver Miller","strained right triceps (DNP)"
"109","2000-01-21","Timberwolves","","• Terrell Brandon","strained right calf (DNP)"
"110","2000-01-21","Warriors","","• Adonal Foyle","sprained right ankle (DNP)"
"111","2000-01-21","Warriors","","• Erick Dampier","recovering from left knee surgery (DNP)"
"112","2000-01-22","Celtics","","• Calbert Cheaney","birth of child (DNP)"
"113","2000-01-22","Celtics","","• Eric Williams","sore right knee (DNP)"
"114","2000-01-22","Jazz","","• Jeff Hornacek","sore back and knee (DNP)"
"115","2000-01-22","Suns","","• Rex Chapman","sore right ankle (DNP)"
"116","2000-01-23","Mavericks","","• Gary Trent","strained left groin (DNP)"
"117","2000-01-23","Pistons","","• Grant Hill","bruised right hip (DNP)"
"118","2000-01-23","Warriors","","• Erick Dampier","recovering from left knee surgery (DNP)"
"119","2000-01-25","Cavaliers","","• Wesley Person","stomach flu (DNP)"
"120","2000-01-25","Celtics","","• Paul Pierce","pulled left hamstring (DNP)"
"121","2000-01-25","Hawks","","• Chris Crawford (Lee)","bruised tailbone (DNP)"
"122","2000-01-25","Kings","","• Predrag Stojakovic / Peja Stojakovic","right Achilles tendinitis (DNP)"
"123","2000-01-25","Pistons","","• Grant Hill","bruised right hip (DNP)"
"124","2000-01-25","Warriors","","• Donyell Marshall","DNP"
"125","2000-01-25","Warriors","","• Erick Dampier","recovering from left knee surgery (DNP)"
"126","2000-01-26","Celtics","","• Paul Pierce","strained left hamstring (DNP)"
"127","2000-01-26","Grizzlies","","• Doug West","sprained right foot (DNP)"
"128","2000-01-26","Jazz","","• Adam Keefe","flu (DNP)"
"129","2000-01-26","Kings","","• Predrag Stojakovic / Peja Stojakovic","right Achilles tendinitis (DNP)"
"130","2000-01-26","Raptors","","• Alvin Williams","sprained left ankle (DNP)"
"131","Date","Team","Acquired","Relinquished","Notes"
"132","2000-01-26","Sonics","","• Brent Barry","mild concussion (DNP)"
"133","2000-01-26","Wizards","","• Michael Smith (John) (Providence)","strained right elbow (DNP)"
"134","2000-01-27","Grizzlies","","• Doug West","sore wrist (DNP)"
"135","2000-01-27","Nets","","• Jim McIlvaine","sore left Achilles tendon (DNP)"
"136","2000-01-27","Warriors","","• Erick Dampier","recovering from left knee surgery (DNP)"
"137","2000-01-27","Warriors","","• Sam Mack","right foot injury (DNP)"
"138","2000-01-28","Celtics","","• Pervis Ellison","strained left calf (DNP)"
"139","2000-01-28","Kings","","• Predrag Stojakovic / Peja Stojakovic","right Achilles tendinitis (DNP)"
"140","2000-01-28","Knicks","","• Chris Childs","strained left Achilles tendon (DNP)"
"141","2000-01-29","Sonics","","• Horace Grant","bruised left thigh (DNP)"
"142","2000-01-29","Wizards","","• Michael Smith (John) (Providence)","sprained right elbow (DNP)"
"143","2000-01-30","Kings","","• Predrag Stojakovic / Peja Stojakovic","right Achilles tendinitis (DNP)"
"144","2000-01-30","Knicks","","• Chris Childs","strained left Achilles tendon (DNP)"
"145","2000-01-31","Kings","","• Corliss Williamson","back spasms (DNP)"
"146","2000-01-31","Kings","","• Predrag Stojakovic / Peja Stojakovic","right Achilles tendinitis (DNP)"
"147","2000-01-31","Pistons","","• Grant Hill","bruised right hip (DNP)"
"148","2000-01-31","Timberwolves","","• Terrell Brandon","sprained left ankle (DNP)"
"149","2000-02-01","Blazers","","• Arvydas Sabonis","DNP"
"150","2000-02-01","Blazers","","• Damon Stoudamire","DNP"
"151","2000-02-01","Cavaliers","","• Bob Sura","sprained right big toe (DTD)"
"152","2000-02-01","Clippers","","• Lamar Odom","flu (DNP)"
"153","2000-02-01","Warriors","","• Erick Dampier","recovering from left knee surgery (DNP)"
"154","2000-02-01","Warriors","","• Jason Caffey","flu (DNP)"
"155","2000-02-01","Wizards","","• Michael Smith (John) (Providence)","strained right elbow (DNP)"
"156","2000-02-02","Clippers","","• Brian Skinner","sprained left ankle (DNP)"
"157","Date","Team","Acquired","Relinquished","Notes"
"158","2000-02-02","Kings","","• Corliss Williamson","lower back spasms (DNP)"
"159","2000-02-02","Pistons","","• Grant Hill","bruised right hip (DNP)"
"160","2000-02-02","Spurs","","• David Robinson","separated right shoulder (DTD)"
"161","2000-02-02","Suns","","• Rex Chapman","back spasms (DNP)"
"162","2000-02-02","Timberwolves","","• Terrell Brandon","sprained left ankle (DNP)"
"163","2000-02-03","Cavaliers","","• Trajan Langdon","arthroscopic surgery on right knee (out 6 months)"
"164","2000-02-03","Knicks","","• Chris Childs","strained left Achilles tendon (DNP)"
"165","2000-02-03","Pistons","","• Grant Hill","bruised right hip (DNP)"
"166","2000-02-03","Spurs","","• David Robinson","bruised right shoulder (DNP)"
"167","2000-02-04","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"168","2000-02-04","Kings","","• Corliss Williamson","lower back spasms (DNP)"
"169","2000-02-04","Pacers","","• Austin Croshere","bruised left hip (DNP)"
"170","2000-02-04","Pistons","","• Grant Hill","bruised right hip (DNP)"
"171","2000-02-04","Rockets","","• Steve Francis","hernia / sprained right knee (P) (DNP)"
"172","2000-02-04","Timberwolves","","• Terrell Brandon","sprained left ankle (DNP)"
"173","2000-02-05","Cavaliers","","• Bob Sura","bruised right big toe (DNP)"
"174","2000-02-05","Cavaliers","","• Brevin Knight","tendinitis in right quadriceps (DNP)"
"175","2000-02-05","Cavaliers","","• Cedric Henderson (Earl)","sprained left thumb (DNP)"
"176","2000-02-05","Nuggets","","• Nick Van Exel","strained right groin (DNP)"
"177","2000-02-06","Kings","","• Corliss Williamson","lower back spasms (DNP)"
"178","2000-02-06","Knicks","","• Chris Childs","sore left Achilles tendon (DNP)"
"179","2000-02-06","Knicks","","• Larry Johnson (Demetric)","chip fracture in metatarsal (DNP)"
"180","2000-02-06","Knicks","","• Marcus Camby","partially torn ACL in right knee (DTD)"
"181","2000-02-06","Nets","","• Lucious Harris","sore right hamstring (DNP)"
"182","2000-02-06","Rockets","","• Steve Francis","sprained right knee (DNP)"
"183","Date","Team","Acquired","Relinquished","Notes"
"184","2000-02-07","Cavaliers","","• Cedric Henderson (Earl)","surgery on right thumb"
"185","2000-02-07","Knicks","","• Chris Childs","strained left Achilles tendon (DNP)"
"186","2000-02-07","Knicks","","• Larry Johnson (Demetric)","chip fracture in metatarsal (DNP)"
"187","2000-02-07","Knicks","","• Marcus Camby","partially torn ACL in right knee (DNP)"
"188","2000-02-08","76ers","","• Nazr Mohammed","oral surgery (DNP)"
"189","2000-02-08","Blazers","","• Stacey Augmon","flu (DNP)"
"190","2000-02-08","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"191","2000-02-08","Clippers","","• Eric Murdock","sprained left ankle (DNP)"
"192","2000-02-08","Clippers","","• Tyrone Nesby","cracked bone in right big toe (DNP)"
"193","2000-02-08","Knicks","","• Chris Childs","strained left Achilles tendon (DNP)"
"194","2000-02-08","Knicks","","• Marcus Camby","arthroscopic surgery on right knee revealed sprained ACL"
"195","2000-02-09","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"196","2000-02-09","Cavaliers","","• Brevin Knight","tendinitis in right quadriceps (DNP)"
"197","2000-02-09","Clippers","","• Eric Murdock","sprained left ankle (DNP)"
"198","2000-02-09","Clippers","","• Tyrone Nesby","cracked bone in right big toe (DNP)"
"199","2000-02-09","Knicks","","• Chris Childs","strained left Achilles tendon (DNP)"
"200","2000-02-09","Knicks","","• Larry Johnson (Demetric)","chip fracture in metatarsal (DNP)"
"201","2000-02-09","Timberwolves","","• Terrell Brandon","sprained left ankle (DNP)"
"202","2000-02-10","Clippers","","• Brian Skinner","sore left ankle (DNP)"
"203","2000-02-10","Clippers","","• Eric Murdock","sprained left ankle (DNP)"
"204","2000-02-10","Clippers","","• Maurice Taylor","sprained right hand (DNP)"
"205","2000-02-10","Clippers","","• Tyrone Nesby","cracked bone in right big toe (DNP)"
"206","2000-02-10","Grizzlies","","• Cherokee Parks","bruised right knee (DNP)"
"207","2000-02-10","Kings","","• Corliss Williamson","strained back (DNP)"
"208","2000-02-10","Nuggets","","• Nick Van Exel","strained groin (DNP)"
"209","Date","Team","Acquired","Relinquished","Notes"
"210","2000-02-10","Timberwolves","","• Terrell Brandon","sprained left ankle (DNP)"
"211","2000-02-10","Warriors","","• Antawn Jamison","injured knee (DTD)"
"212","2000-02-14","76ers","","• Billy Owens","sprained right ankle (DNP)"
"213","2000-02-14","Celtics","","• Calbert Cheaney","right knee tendinitis"
"214","2000-02-14","Clippers","","• Lamar Odom","left knee tendinitis (DTD)"
"215","2000-02-15","76ers","","• Billy Owens","sprained right ankle (DNP)"
"216","2000-02-15","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"217","2000-02-15","Clippers","","• Lamar Odom","left knee tendinitis (DNP)"
"218","2000-02-15","Clippers","","• Tyrone Nesby","chipped bone in right big toe (DNP)"
"219","2000-02-15","Nets","","• Keith Van Horn","birth of child (DNP)"
"220","2000-02-15","Nuggets","","• Bryant Stith","stomach flu (DNP)"
"221","2000-02-15","Warriors","","• Antawn Jamison","strained left knee (DNP)"
"222","2000-02-16","Warriors","","• Antawn Jamison","strained left knee (DNP)"
"223","2000-02-17","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"224","2000-02-17","Cavaliers","","• Brevin Knight","tendinitis in right quadriceps (DNP)"
"225","2000-02-17","Nuggets","","• George McCloud","sprained right ankle (DNP)"
"226","2000-02-17","Pacers","","• Rik Smits","sore lower back (DNP)"
"227","2000-02-18","Blazers","","• Bonzi Wells","stomach flu (DNP)"
"228","2000-02-18","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"229","2000-02-18","Cavaliers","","• Brevin Knight","tendinitis in right quadriceps (DNP)"
"230","2000-02-18","Clippers","","• Derek Anderson","sprained right ankle (DNP)"
"231","2000-02-18","Clippers","","• Eric Murdock","sprained left ankle (DNP)"
"232","2000-02-18","Heat","","• Rex Walters","stomach flu (DNP)"
"233","2000-02-18","Nuggets","","• George McCloud","sprained right ankle (DNP)"
"234","2000-02-18","Warriors","","• Antawn Jamison","strained left knee (DNP)"
"235","Date","Team","Acquired","Relinquished","Notes"
"236","2000-02-19","Clippers","","• Derek Anderson","sore lower back (DNP)"
"237","2000-02-19","Clippers","","• Eric Murdock","sore left ankle (DNP)"
"238","2000-02-19","Kings","","• Lawrence Funderburke","bilateral Achilles tendinitis (DTD)"
"239","2000-02-19","Kings","","• Nick Anderson","flu (DNP)"
"240","2000-02-19","Mavericks","","• Shawn Bradley","blurred vision (DTD)"
"241","2000-02-19","Pacers","","• Rik Smits","sore lower back (DNP)"
"242","2000-02-19","Timberwolves","","• Sam Mitchell","sprained left ankle (DTD)"
"243","2000-02-20","Kings","","• Lawrence Funderburke","Achilles tendinitis (DNP)"
"244","2000-02-20","Kings","","• Nick Anderson","flu (DNP)"
"245","2000-02-20","Mavericks","","• Shawn Bradley","blurred vision (DNP)"
"246","2000-02-20","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"247","2000-02-20","Warriors","","• Antawn Jamison","strained left knee (DNP)"
"248","2000-02-21","Cavaliers","","• Brevin Knight","tendinitis in right quadriceps (DNP)"
"249","2000-02-21","Clippers","","• Eric Murdock","sore left ankle (DNP)"
"250","2000-02-21","Kings","","• Lawrence Funderburke","Achilles tendinitis (DNP)"
"251","2000-02-21","Kings","","• Nick Anderson","flu (DNP)"
"252","2000-02-21","Mavericks","","• Shawn Bradley","blurred vision (DNP)"
"253","2000-02-21","Pacers","","• Rik Smits","sore lower back (DNP)"
"254","2000-02-21","Spurs","","• Tim Duncan","abdominal strain (DTD)"
"255","2000-02-22","Hornets","","• Brad Miller","torn cartilage in left knee (out 6 weeks)"
"256","2000-02-22","Suns","","• Luc Longley","flu (DNP)"
"257","2000-02-22","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"258","2000-02-22","Warriors","","• Antawn Jamison","exploratory arthroscopic surgery on left knee (out for season)"
"259","2000-02-23","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"260","2000-02-23","Cavaliers","","• Brevin Knight","tendinitis in right quadriceps (DNP)"
"261","Date","Team","Acquired","Relinquished","Notes"
"262","2000-02-23","Clippers","","• Michael Olowokandi","sore left knee (DNP)"
"263","2000-02-23","Hawks","","• Lorenzen Wright","bruised right cornea (DNP)"
"264","2000-02-23","Kings","","• Lawrence Funderburke","bilateral Achilles tendinitis (DNP)"
"265","2000-02-23","Warriors","","• Larry Hughes","sprained left ankle (DNP)"
"266","2000-02-24","Clippers","","• Michael Olowokandi","sore left knee (DNP)"
"267","2000-02-24","Hornets","","• Brad Miller","surgery on left knee to repair torn meniscus cartilage (date approximate)"
"268","2000-02-24","Suns","","• Luc Longley","flu (DNP)"
"269","2000-02-24","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"270","2000-02-25","Cavaliers","","• Bob Sura","sprained right big toe (DNP)"
"271","2000-02-25","Spurs","","• Tim Duncan","lower abdominal strain (DNP)"
"272","2000-02-25","Timberwolves","","• Sam Mitchell","sprained left ankle (DNP)"
"273","2000-02-26","Grizzlies","","• Doug West","lower back spasms (DNP)"
"274","2000-02-26","Nuggets","","• Tariq Abdul-Wahad / Olivier Saint-Jean","sprained left wrist (DNP)"
"275","2000-02-27","Bulls","","• John Starks","left knee tendinitis (DNP)"
