"","X1","X2","X3","X4","X5"
"4977","2003-05-25","Mavericks","","• Shawn Bradley","sprained MCL in right knee (DNP)"
"4978","2003-05-26","Raptors","","• Alvin Williams","arthroscopic surgery on left ankle to remove bone spurs"
"4979","2003-05-27","Mavericks","","• Dirk Nowitzki","sprained MRL ligament in left knee (DNP)"
"4980","2003-05-27","Mavericks","","• Evan Eschmeyer","sore right knee (DNP)"
"4981","2003-05-27","Mavericks","","• Shawn Bradley","sprained MCL in right knee (DNP)"
"4982","2003-05-29","Mavericks","","• Dirk Nowitzki","sprained MRL ligament in left knee (DNP)"
"4983","2003-05-29","Mavericks","","• Evan Eschmeyer","sore right knee (DNP)"
"4984","2003-05-29","Mavericks","","• Shawn Bradley","sprained MCL in right knee (DNP)"
"4985","2003-05-29","Sonics","","• Calvin Booth","arthroscopic surgery on left knee to repair torn lateral meniscus and remove a cyst"
"4986","2003-05-29","Suns","","• Stephon Marbury","surgery on both ankles to remove bone spurs"
"4987","2003-06-10","Kings","","• Chris Webber","arthroscopic surgery on left knee to repair torn meniscus"
"4988","2003-06-10","Kings","","• Gerald Wallace","arthroscopic surgery on left shoulder to relieve chronic rotator cuff tendinitis"
"4989","2003-06-11","Knicks","","• Allan Houston","arthroscopic surgery on right knee to remove loose cartilage and stimulate growth"
"4990","2003-06-12","Lakers","","• Kobe Bryant","arthroscopic surgery on right shoulder to remove inflamed bursa and trim frayed labrum (out indefinitely)"
"4991","2003-06-13","Suns","","• Amare Stoudemire / Amar'e Stoudemire","surgery on right foot to repair bunion"
"4992","2003-06-19","76ers","","• Samuel Dalembert","surgery on left knee"
"4993","Date","Team","Acquired","Relinquished","Notes"
"4994","2003-06-19","Bulls","","• Jay Williams","broken left leg, injured pelvis & knee (motorcycle accident)"
"4995","2003-06-27","Grizzlies","","• Jason Williams","surgery on left ankle to remove bone spurs (out 8-12 weeks)"
"4996","2003-07-01","Warriors","","• Adonal Foyle","arthroscopic surgery on left knee"
"4997","2003-07-22","Hawks","","• Shareef Abdur-Rahim","surgery on back"
"4998","2003-08-05","Sonics","","• Luke Ridnour","surgery to repair pulled abdominal muscle"
"4999","2003-08-07","Pistons","","• Zeljko Rebraca","surgery for irregular heartbeat"
"5000","2003-09-10","Rockets","","• Adrian Griffin","arthroscopic surgery on right knee to clean up loose debris"
"5001","2003-09-17","Knicks","","• Othella Harrington","sprained MCL in right knee (out 4-8 weeks)"
"5002","2003-09-19","Kings","","• Lawrence Funderburke","surgery on left Achilles tendon (out at least 6 months)"
"5003","2003-10-01","Sonics","","• Nick Collison","partially dislocated left shoulder"
"5004","2003-10-03","Pacers","","• Jonathan Bender","arthroscopic surgery on left knee (out 4 weeks)"
"5005","2003-10-04","Heat","","• Caron Butler","arthroscopic surgery on left knee to remove loose debris (out 3-4 weeks)"
"5006","2003-10-04","Suns","","• Scott Williams","surgery on left thumb to repair ligaments (out 6 weeks)"
"5007","2003-10-05","Rockets","","• Maurice Taylor","dislocated left shoulder (out indefinitely)"
"5008","2003-10-06","Pacers","","• Anthony Johnson","spiral fracture of left ring finger (out 4-6 weeks)"
"5009","2003-10-08","Cavaliers","","• Dajuan Wagner","surgery on right knee to repair torn meniscus"
"5010","2003-10-09","Pacers","","• Austin Croshere","pulled left hamstring (out 2-4 weeks)"
"5011","2003-10-10","Jazz","","• Curtis Borchardt","fractured left index finger (out 4 weeks)"
"5012","2003-10-13","Lakers","","• Brian Cook","surgery on left ring finger to repair fracture dislocation (out 6+ weeks)"
"5013","2003-10-14","Sonics","","• Nick Collison","surgery on both shoulders to repair dislocation (out for season)"
"5014","2003-10-15","Hornets","","• Courtney Alexander","torn right Achilles tendon (out ~6 months)"
"5015","2003-10-17","Hawks","","• Obinna Ekezie","torn ACL in right knee (out indefinitely)"
"5016","2003-10-20","Warriors","","• Nick Van Exel","arthroscopic surgery on left knee (out 3-4 weeks)"
"5017","2003-10-22","Sonics","","• Ray Allen","bone fragment in right ankle (out indefinitely)"
"5018","2003-10-22","Wizards","","• Jerry Stackhouse","arthroscopic surgery on right knee to remove scar tissue"
"5019","Date","Team","Acquired","Relinquished","Notes"
"5020","2003-10-24","Hornets","","• Jamal Mashburn","bone bruise in right knee (out 2 weeks)"
"5021","2003-10-24","Timberwolves","","• Troy Hudson","sprained right ankle (out indefinitely)"
"5022","2003-10-25","Warriors","","• Troy Murphy","torn plantar fascia in right foot (out 10 days)"
"5023","2003-10-28","Lakers","","• Kobe Bryant","sore right knee (DNP)"
"5024","2003-10-28","Spurs","","• (William) Tony Parker","sprained left ankle (DNP)"
"5025","2003-10-28","Spurs","","• Shane Heal","sore lower back (DNP)"
"5026","2003-10-28","Timberwolves","","• Wally Szczerbiak","sore left foot (out 2 weeks)"
"5027","2003-10-29","Blazers","","• Derek Anderson","back spasms (DNP)"
"5028","2003-10-29","Bucks","","• T.J. Ford","sore right ankle (DNP)"
"5029","2003-10-29","Bulls","","• Tyson Chandler","strained lower back (DNP)"
"5030","2003-10-29","Celtics","","• Jumaine Jones","strained bilateral hamstring (DNP)"
"5031","2003-10-29","Hawks","","• Alan Henderson","sore back (DNP)"
"5032","2003-10-29","Heat","","• Lamar Odom","sprained right ankle (DNP)"
"5033","2003-10-29","Jazz","","• Keon Clark","sprained right ankle (DNP)"
"5034","2003-10-29","Raptors","","• Michael Bradley","surgery on right knee (date approximate)"
"5035","2003-10-29","Spurs","","• (William) Tony Parker","sprained left ankle (DNP)"
"5036","2003-10-29","Spurs","","• Shane Heal","sore lower back (DNP)"
"5037","2003-10-29","Warriors","","• Nick Van Exel","recovering from surgery on left knee (DNP)"
"5038","2003-10-29","Warriors","","• Ronald Jones / Popeye Jones","left knee injury (DNP)"
"5039","2003-10-30","Clippers","","• Elton Brand","hairline fracture of right foot (out 4-6 weeks)"
"5040","2003-10-30","Clippers","","• Melvin Ely","subluxated left shoulder (DNP)"
"5041","2003-10-31","Celtics","","• Jumaine Jones","strained bilateral hamstring (DNP)"
"5042","2003-10-31","Clippers","","• Elton Brand","hairline fracture of right foot (DNP)"
"5043","2003-10-31","Hawks","","• Alan Henderson","sore back (DNP)"
"5044","2003-10-31","Heat","","• Samaki Walker","strained lower back (DNP)"
"5045","Date","Team","Acquired","Relinquished","Notes"
"5046","2003-10-31","Nets","","• Rodney Rogers","lacerated left thumb (DNP)"
"5047","2003-11-01","Blazers","","• Derek Anderson","back spasms (DNP)"
"5048","2003-11-01","Celtics","","• Eric Williams","hamstring injury (DNP)"
"5049","2003-11-01","Celtics","","• Jumaine Jones","knee injury (DNP)"
"5050","2003-11-01","Hawks","","• Alan Henderson","sore back (DNP)"
"5051","2003-11-01","Jazz","","• Carlos Arroyo","sprained right ankle (DNP)"
"5052","2003-11-01","Jazz","","• Keon Clark","bone spurs in right ankle (DNP)"
"5053","2003-11-01","Lakers","","• Stanislav Medvedenko","foot injury (DNP)"
"5054","2003-11-01","Magic","","• Gordan Giricek","strained right arch (DNP)"
"5055","2003-11-01","Mavericks","","• Josh Howard","sprained right ankle (DNP)"
"5056","2003-11-01","Nets","","• Kenyon Martin Sr.","sprained left ankle (DNP)"
"5057","2003-11-01","Pacers","","• Reggie Miller","sore lower back (DNP)"
"5058","2003-11-01","Sonics","","• Ray Allen","arthroscopic surgery on right ankle to remove bone fragment (out indefinitely)"
"5059","2003-11-01","Spurs","","• (William) Tony Parker","sprained left ankle (DNP)"
"5060","2003-11-01","Warriors","","• Nick Van Exel","recovering from surgery on left knee (DNP)"
"5061","2003-11-02","Lakers","","• Stanislav Medvedenko","bruised left heel (DNP)"
"5062","2003-11-02","Warriors","","• Nick Van Exel","recovering from surgery on left knee (DNP)"
"5063","2003-11-03","Bulls","","• Scottie Pippen (Sr.)","swollen left knee (DNP)"
"5064","2003-11-03","Hawks","","• Alan Henderson","sore back (DNP)"
"5065","2003-11-03","Heat","","• Dwyane Wade","right hip pointer (DNP)"
"5066","2003-11-03","Heat","","• Eddie Jones","strained right calf (DNP)"
"5067","2003-11-03","Hornets","","• Jamal Mashburn","arthroscopic surgery on right knee to remove loose debris (out 6-8 weeks)"
"5068","2003-11-03","Jazz","","• Carlos Arroyo","sprained right ankle (DNP)"
"5069","2003-11-03","Magic","","• Gordan Giricek","strained right arch (DNP)"
"5070","2003-11-03","Mavericks","","• Josh Howard","sprained right ankle (DNP)"
"5071","Date","Team","Acquired","Relinquished","Notes"
"5072","2003-11-03","Spurs","","• (William) Tony Parker","sprained left ankle (DNP)"
"5073","2003-11-04","Cavaliers","","• Dajuan Wagner","surgery on right knee (out 8-12 weeks)"
"5074","2003-11-04","Heat","","• Dwyane Wade","left hip pointer (DNP)"
"5075","2003-11-04","Lakers","","• Stanislav Medvedenko","bruised left knee (DNP)"
"5076","2003-11-04","Nets","","• Kenyon Martin Sr.","sprained left ankle (DNP)"
"5077","2003-11-04","Nets","","• Rodney Rogers","lacerated left thumb (DNP)"
"5078","2003-11-04","Spurs","","• (William) Tony Parker","sprained left ankle (DNP)"
"5079","2003-11-04","Spurs","","• Tim Duncan","sprained left ankle (DNP)"
"5080","2003-11-05","Blazers","","• Derek Anderson","lower back spasms (DNP)"
"5081","2003-11-05","Bulls","","• Scottie Pippen (Sr.)","sore left knee (DNP)"
"5082","2003-11-05","Celtics","","• Eric Williams","bone bruise in right knee (DNP)"
"5083","2003-11-05","Hawks","","• Alan Henderson","sore back (DNP)"
"5084","2003-11-05","Magic","","• Gordan Giricek","strained right arch (DNP)"
"5085","2003-11-05","Pistons","","• Zeljko Rebraca","flu (DNP)"
"5086","2003-11-05","Warriors","","• Adonal Foyle","arthroscopic surgery on left knee (date approximate)"
"5087","2003-11-05","Warriors","","• Adonal Foyle","stiff left knee (DNP)"
"5088","2003-11-05","Warriors","","• Ronald Jones / Popeye Jones","surgery on left knee to repair torn cartilage (out 6+ weeks)"
"5089","2003-11-05","Warriors","","• Ronald Jones / Popeye Jones","recovering from surgery on left knee (DNP)"
"5090","2003-11-06","Heat","","• Malik Allen","surgery on right foot (out 6-8 weeks)"
"5091","2003-11-06","Lakers","","• Stanislav Medvedenko","bruised left heel (DNP)"
"5092","2003-11-06","Mavericks","","• Steve Nash","strained left shoulder (DNP)"
"5093","2003-11-06","Nets","","• Kenyon Martin Sr.","sprained left ankle (DNP)"
"5094","2003-11-06","Nets","","• Rodney Rogers","dislocated left thumb (DNP)"
"5095","2003-11-06","Spurs","","• (William) Tony Parker","sprained left ankle (DNP)"
"5096","2003-11-06","Spurs","","• Tim Duncan","sprained left ankle (DNP)"
"5097","Date","Team","Acquired","Relinquished","Notes"
"5098","2003-11-07","Bulls","","• Scottie Pippen (Sr.)","sore left knee (DNP)"
"5099","2003-11-07","Celtics","","• Eric Williams","hyperextended right knee (DNP)"
"5100","2003-11-07","Clippers","","• Elton Brand","hairline fracture of right foot (DNP)"
"5101","2003-11-07","Jazz","","• Keon Clark","right foot injury (DNP)"
"5102","2003-11-07","Lakers","","• Stanislav Medvedenko","bruised left heel (DNP)"
"5103","2003-11-07","Nets","","• Brian Scalabrine","strained hip flexor (DNP)"
"5104","2003-11-07","Nets","","• Kenyon Martin Sr.","strained left ankle (DNP)"
"5105","2003-11-07","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5106","2003-11-07","Warriors","","• Ronald Jones / Popeye Jones","recovering from surgery on left knee (DNP)"
"5107","2003-11-08","Bulls","","• Scottie Pippen (Sr.)","sore left knee (DNP)"
"5108","2003-11-08","Bulls","","• Tyson Chandler","bruised lower back (DNP)"
"5109","2003-11-08","Grizzlies","","• Shane Battier","right knee injury (DNP)"
"5110","2003-11-08","Spurs","","• (William) Tony Parker","sprained left ankle (DNP)"
"5111","2003-11-08","Spurs","","• Tim Duncan","sprained left ankle (DNP)"
"5112","2003-11-09","76ers","","• Kenny Thomas","bruised lower back (DNP)"
"5113","2003-11-09","Nets","","• Brian Scalabrine","strained hip flexor (DNP)"
"5114","2003-11-09","Nets","","• Kenyon Martin Sr.","sprained left ankle (DNP)"
"5115","2003-11-09","Nuggets","","• Voshon Lenard","sprained left ankle (DNP)"
"5116","2003-11-10","Bulls","","• Tyson Chandler","bruised lower back (DNP)"
"5117","2003-11-10","Nuggets","","• Voshon Lenard","sprained left ankle (DNP)"
"5118","2003-11-10","Suns","","• Zarko Cabarkapa","sprained right ankle (DNP)"
"5119","2003-11-10","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5120","2003-11-10","Warriors","","• Ronald Jones / Popeye Jones","recovering from surgery on left knee (DNP)"
"5121","2003-11-11","76ers","","• Glenn Robinson (Jr.)","sprained left ankle (DNP)"
"5122","2003-11-11","76ers","","• Kenny Thomas","bruised lower back (DNP)"
"5123","Date","Team","Acquired","Relinquished","Notes"
"5124","2003-11-11","Clippers","","• Elton Brand","hairline fracture of right foot (DNP)"
"5125","2003-11-11","Mavericks","","• Tony Delk","strained left hamstring (DNP)"
"5126","2003-11-11","Pistons","","• Ben Wallace","sprained left ankle (DNP)"
"5127","2003-11-12","Bulls","","• Corie Blount","sprained right ankle (DNP)"
"5128","2003-11-12","Bulls","","• Tyson Chandler","bruised lower back (DNP)"
"5129","2003-11-12","Lakers","","• Stanislav Medvedenko","bruised left heel (DNP)"
"5130","2003-11-12","Magic","","• Pat Garrity","sore right knee (DNP)"
"5131","2003-11-12","Nets","","• Brian Scalabrine","strained hip flexor (DNP)"
"5132","2003-11-12","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5133","2003-11-12","Warriors","","• Jason Richardson","sprained left ankle (DNP)"
"5134","2003-11-12","Warriors","","• Mickael Pietrus","sprained left ankle (DNP)"
"5135","2003-11-13","Bulls","","• Tyson Chandler","bruised lower back (DNP)"
"5136","2003-11-14","76ers","","• Derrick Coleman","strained left knee (DNP)"
"5137","2003-11-14","76ers","","• Glenn Robinson (Jr.)","sprained left ankle (DNP)"
"5138","2003-11-14","76ers","","• Kenny Thomas","bruised lower back (DNP)"
"5139","2003-11-14","Clippers","","• Elton Brand","hairline fracture of right foot (DNP)"
"5140","2003-11-14","Magic","","• Pat Garrity","right knee injury (DNP)"
"5141","2003-11-14","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5142","2003-11-14","Warriors","","• Mickael Pietrus","sprained left ankle (DNP)"
"5143","2003-11-15","76ers","","• Derrick Coleman","strained left knee (DNP)"
"5144","2003-11-15","76ers","","• Glenn Robinson (Jr.)","strained left knee (DNP)"
"5145","2003-11-15","76ers","","• Kenny Thomas","bruised lower back (DNP)"
"5146","2003-11-15","Bulls","","• Jamal Crawford","sprained neck (DNP)"
"5147","2003-11-15","Magic","","• Pat Garrity","right knee injury (DNP)"
"5148","2003-11-15","Magic","","• Shammond Williams","sprained left knee (DNP)"
"5149","Date","Team","Acquired","Relinquished","Notes"
"5150","2003-11-15","Mavericks","","• Tony Delk","strained left hamstring (DNP)"
"5151","2003-11-15","Pacers","","• Jamaal Tinsley","ill (DNP)"
"5152","2003-11-16","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5153","2003-11-16","Warriors","","• Mickael Pietrus","sprained left ankle (DNP)"
"5154","2003-11-16","Warriors","","• Nick Van Exel","sore left knee (DNP)"
"5155","2003-11-17","76ers","","• Derrick Coleman","strained left knee (DNP)"
"5156","2003-11-17","76ers","","• Glenn Robinson (Jr.)","sprained left ankle (DNP)"
"5157","2003-11-17","Mavericks","","• Shawn Bradley","sprained left knee (DNP)"
"5158","2003-11-17","Mavericks","","• Tony Delk","strained left hamstring (DNP)"
"5159","2003-11-17","Wizards","","• Christian Laettner","back spasms (DNP)"
"5160","2003-11-18","Bulls","","• Jamal Crawford","sprained neck (DNP)"
"5161","2003-11-18","Nuggets","","• Nene / Nene Hilario / Maybyner Hilario","strained left groin (DNP)"
"5162","2003-11-18","Suns","","• Jahidi White","finger injury (DNP)"
"5163","2003-11-18","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5164","2003-11-19","76ers","","• Allen Iverson","bruised right knee (DNP)"
"5165","2003-11-19","76ers","","• Derrick Coleman","strained left knee (DNP)"
"5166","2003-11-19","76ers","","• Glenn Robinson (Jr.)","sprained left ankle (DNP)"
"5167","2003-11-19","Cavaliers","","• Carlos Boozer","sprained right ankle (DNP)"
"5168","2003-11-19","Clippers","","• Marko Jaric","partially torn muscle in left foot (DTD)"
"5169","2003-11-19","Clippers","","• Marko Jaric","partially torn muscle in left foot (DNP)"
"5170","2003-11-19","Jazz","","• Keon Clark","surgery on right ankle to remove bone spurs (out 6 weeks) (date approximate)"
"5171","2003-11-19","Kings","","• Gerald Wallace","sprained left knee (DNP)"
"5172","2003-11-19","Knicks","","• Keith Van Horn","sprained right ankle (DNP)"
"5173","2003-11-19","Nuggets","","• Nene / Nene Hilario / Maybyner Hilario","strained left groin (DNP)"
"5174","2003-11-19","Pacers","","• Jermaine O'Neal","knee tendinitis (DNP)"
"5175","Date","Team","Acquired","Relinquished","Notes"
"5176","2003-11-19","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5177","2003-11-19","Warriors","","• Mickael Pietrus","sprained left ankle (DNP)"
"5178","2003-11-19","Warriors","","• Nick Van Exel","sore left knee (DNP)"
"5179","2003-11-19","Wizards","","• Christian Laettner","back spasms (DNP)"
"5180","2003-11-20","Mavericks","","• Tony Delk","strained left hamstring (DNP)"
"5181","2003-11-21","76ers","","• Derrick Coleman","strained left knee (DNP)"
"5182","2003-11-21","76ers","","• Glenn Robinson (Jr.)","sprained left ankle (DNP)"
"5183","2003-11-21","Cavaliers","","• Carlos Boozer","sprained right ankle (DNP)"
"5184","2003-11-21","Kings","","• Gerald Wallace","sprained left knee (DNP)"
"5185","2003-11-21","Knicks","","• Keith Van Horn","sprained right ankle (DNP)"
"5186","2003-11-21","Nuggets","","• Nene / Nene Hilario / Maybyner Hilario","strained left groin (DNP)"
"5187","2003-11-21","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5188","2003-11-21","Warriors","","• Nick Van Exel","left knee injury (DNP)"
"5189","2003-11-22","76ers","","• Derrick Coleman","sprained left knee (DNP)"
"5190","2003-11-22","76ers","","• Glenn Robinson (Jr.)","sprained left ankle (DNP)"
"5191","2003-11-22","Cavaliers","","• Carlos Boozer","sprained right ankle (DNP)"
"5192","2003-11-22","Clippers","","• Marko Jaric","torn plantar fascia in left foot (DNP)"
"5193","2003-11-22","Knicks","","• Allan Houston","sore lower back (DNP)"
"5194","2003-11-22","Knicks","","• Keith Van Horn","sprained right ankle (DNP)"
"5195","2003-11-22","Nets","","• Jason Kidd","sore left knee (DNP)"
"5196","2003-11-22","Nuggets","","• Nene / Nene Hilario / Maybyner Hilario","strained left groin (DNP)"
"5197","2003-11-22","Timberwolves","","• Michael Olowokandi","right knee tendinitis (DNP)"
"5198","2003-11-23","Bucks","","• Erick Strickland","bruised left thigh (DNP)"
"5199","2003-11-23","Kings","","• Gerald Wallace","sprained left knee (DNP)"
"5200","2003-11-23","Lakers","","• Shaquille O'Neal","strained right calf (DNP)"
"5201","Date","Team","Acquired","Relinquished","Notes"
"5202","2003-11-23","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5203","2003-11-23","Warriors","","• Cherokee Parks","bruised chest (DNP)"
"5204","2003-11-23","Warriors","","• Nick Van Exel","sore left knee (DNP)"
"5205","2003-11-24","Clippers","","• Marko Jaric","left foot injury (DNP)"
"5206","2003-11-24","Knicks","","• Allan Houston","sore lower back (DNP)"
"5207","2003-11-24","Knicks","","• Keith Van Horn","sprained right ankle (DNP)"
"5208","2003-11-24","Magic","","• Tracy McGrady","flu (DNP)"
"5209","2003-11-24","Nets","","• Alonzo Mourning","retired"
"5210","2003-11-24","Pistons","","• Richard Hamilton","strained neck (DNP)"
"5211","2003-11-25","Bucks","","• Joel Przybilla","stomach virus (DNP)"
"5212","2003-11-25","Heat","","• Caron Butler","left quadricep injury (DNP)"
"5213","2003-11-25","Heat","","• Tyrone Hill","stiff neck & shoulder (DNP)"
"5214","2003-11-25","Kings","","• Gerald Wallace","sprained left knee (DNP)"
"5215","2003-11-25","Nuggets","","• Nene / Nene Hilario / Maybyner Hilario","strained left groin (DNP)"
"5216","2003-11-25","Timberwolves","","• Michael Olowokandi","right knee tendinitis (DNP)"
"5217","2003-11-26","Bulls","","• Scottie Pippen (Sr.)","left eye injury (DNP)"
"5218","2003-11-26","Bulls","","• Tyson Chandler","sore lower back (DNP)"
"5219","2003-11-26","Hawks","","• Stephen Jackson","sprained left ankle (DNP)"
"5220","2003-11-26","Jazz","","• Carlos Arroyo","sprained left ankle (DNP)"
"5221","2003-11-26","Knicks","","• Keith Van Horn","sprained right ankle (DNP)"
"5222","2003-11-26","Lakers","","• Shaquille O'Neal","strained right calf (DNP)"
"5223","2003-11-26","Suns","","• Shawn Marion","sprained left ankle (DNP)"
"5224","2003-11-26","Suns","","• Zarko Cabarkapa","fractured right wrist (out 6-8 weeks)"
"5225","2003-11-26","Timberwolves","","• Mark Madsen","back spasms (DNP)"
"5226","2003-11-26","Timberwolves","","• Michael Olowokandi","right knee tendinitis (DNP)"
"5227","Date","Team","Acquired","Relinquished","Notes"
"5228","2003-11-27","Knicks","","• Keith Van Horn","sprained right ankle (DNP)"
"5229","2003-11-27","Pacers","","• Jamaal Tinsley","sore lower back (DNP)"
"5230","2003-11-28","76ers","","• Derrick Coleman","strained left knee (DNP)"
"5231","2003-11-28","Bucks","","• Tim Thomas","sprained left ankle (DNP)"
"5232","2003-11-28","Cavaliers","","• Carlos Boozer","sprained right ankle (DNP)"
"5233","2003-11-28","Grizzlies","","• Lorenzen Wright","sprained right ankle (DNP)"
"5234","2003-11-28","Heat","","• Caron Butler","left quadricep injury (DNP)"
"5235","2003-11-28","Heat","","• Tyrone Hill","right shoulder injury (DNP)"
"5236","2003-11-28","Jazz","","• Carlos Arroyo","sprained left ankle (DNP)"
"5237","2003-11-28","Kings","","• Gerald Wallace","sprained left ankle (DNP)"
"5238","2003-11-28","Mavericks","","• Dirk Nowitzki","sprained right ankle (DNP)"
"5239","2003-11-28","Pacers","","• Jamaal Tinsley","sore lower back (DNP)"
"5240","2003-11-28","Suns","","• Shawn Marion","sprained left ankle (DNP)"
"5241","2003-11-28","Timberwolves","","• Mark Madsen","back spasms (DNP)"
"5242","2003-11-28","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5243","2003-11-29","76ers","","• Derrick Coleman","strained left knee (DNP)"
"5244","2003-11-29","Bucks","","• Tim Thomas","sprained left ankle (DNP)"
"5245","2003-11-29","Cavaliers","","• Carlos Boozer","sprained right ankle (DNP)"
"5246","2003-11-29","Grizzlies","","• Lorenzen Wright","sprained right ankle (DNP)"
"5247","2003-11-29","Heat","","• Caron Butler","left quadricep injury (DNP)"
"5248","2003-11-29","Heat","","• Tyrone Hill","neck & shoulder injury (DNP)"
"5249","2003-11-29","Mavericks","","• Dirk Nowitzki","sprained right ankle (DNP)"
"5250","2003-11-29","Timberwolves","","• Mark Madsen","back spasms (DNP)"
"5251","2003-11-29","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5252","2003-11-29","Wizards","","• Etan Thomas","flu (DNP)"
"5253","Date","Team","Acquired","Relinquished","Notes"
"5254","2003-11-30","Kings","","• Gerald Wallace","sprained left knee (DNP)"
"5255","2003-11-30","Pacers","","• Jamaal Tinsley","sore back (DNP)"
"5256","2003-12-01","Bucks","","• Tim Thomas","sprained left ankle (DNP)"
"5257","2003-12-01","Clippers","","• Chris Wilcox","strained left groin (DNP)"
"5258","2003-12-01","Grizzlies","","• Jason Williams","back spasms (DNP)"
"5259","2003-12-01","Jazz","","• Carlos Arroyo","sprained left ankle (DNP)"
"5260","2003-12-01","Magic","","• Pat Garrity","surgery on right knee to repair damaged cartilage (out 4-6 months)"
"5261","2003-12-01","Pacers","","• Ron Artest / Metta World Peace","back spasms (DNP)"
"5262","2003-12-02","76ers","","• Derrick Coleman","sprained left knee (DNP)"
"5263","2003-12-02","Bucks","","• Tim Thomas","sprained left ankle (DNP)"
"5264","2003-12-02","Bucks","","• Toni Kukoc","back spasms (DNP)"
"5265","2003-12-02","Cavaliers","","• DeSagana Diop","right knee injury (DNP)"
"5266","2003-12-02","Mavericks","","• Dirk Nowitzki","sprained right ankle (DNP)"
"5267","2003-12-02","Nuggets","","• Marcus Camby","strained right groin (DNP)"
"5268","2003-12-02","Wizards","","• Etan Thomas","flu (DNP)"
"5269","2003-12-03","Cavaliers","","• DeSagana Diop","right knee injury (DNP)"
"5270","2003-12-03","Celtics","","• Tony Battie","flu (DNP)"
"5271","2003-12-03","Clippers","","• Chris Wilcox","strained left groin (DNP)"
"5272","2003-12-03","Clippers","","• Eddie House","sore left foot (DNP)"
"5273","2003-12-03","Grizzlies","","• Jason Williams","back spasms (DNP)"
"5274","2003-12-03","Heat","","• Caron Butler","left quadricep injury (DNP)"
"5275","2003-12-03","Jazz","","• Carlos Arroyo","sprained left ankle (DNP)"
"5276","2003-12-03","Jazz","","• DeShawn Stevenson","flu (DNP)"
"5277","2003-12-03","Nets","","• Jason Collins","sprained left ankle (DNP)"
"5278","2003-12-03","Nuggets","","• Marcus Camby","sprained right groin (DNP)"
"5279","Date","Team","Acquired","Relinquished","Notes"
"5280","2003-12-03","Rockets","","• Jim Jackson","flu (DNP)"
"5281","2003-12-03","Rockets","","• John Amaechi","flu (DNP)"
"5282","2003-12-03","Suns","","• Leandro Barbosa","bruised back (DNP)"
"5283","2003-12-03","Timberwolves","","• Mark Madsen","back spasms (DNP)"
"5284","2003-12-03","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5285","2003-12-04","76ers","","• Marc Jackson","surgery on broken left ring finger (out ~8 weeks)"
"5286","2003-12-04","76ers","","• Marc Jackson","surgery on broken left ring finger (DNP)"
"5287","2003-12-04","76ers","","• Willie Green","sprained right thumb (DNP)"
"5288","2003-12-04","Bulls","","• Scottie Pippen (Sr.)","left knee injury (DNP)"
"5289","2003-12-04","Cavaliers","","• DeSagana Diop","surgery on right knee to repair torn cartilage (out 4-6 weeks)"
"5290","2003-12-04","Mavericks","","• Dirk Nowitzki","sprained right ankle (DNP)"
"5291","2003-12-05","76ers","","• Marc Jackson","recovering from surgery on broken left ring finger (DNP)"
"5292","2003-12-05","76ers","","• Willie Green","surgery on right thumb (out 6-8 weeks)"
"5293","2003-12-05","76ers","","• Willie Green","surgery on right thumb (DNP)"
"5294","2003-12-05","Bucks","","• Tim Thomas","sprained left ankle (DNP)"
"5295","2003-12-05","Clippers","","• Chris Wilcox","strained left groin (DNP)"
"5296","2003-12-05","Grizzlies","","• Jason Williams","back spasms (DNP)"
"5297","2003-12-05","Heat","","• Caron Butler","left quadricep injury (DNP)"
"5298","2003-12-05","Jazz","","• Carlos Arroyo","sprained left ankle (DNP)"
"5299","2003-12-05","Pacers","","• Ron Artest / Metta World Peace","back spasms (DNP)"
"5300","2003-12-05","Spurs","","• Malik Rose","strained right ankle (DNP)"
"5301","2003-12-05","Timberwolves","","• Mark Madsen","back spasms (DNP)"
"5302","2003-12-05","Timberwolves","","• Michael Olowokandi","right knee tendinitis (DNP)"
"5303","2003-12-05","Warriors","","• Adonal Foyle","recovering from surgery on left knee (DNP)"
"5304","2003-12-06","Bucks","","• Tim Thomas","sprained left ankle (DNP)"
"5305","Date","Team","Acquired","Relinquished","Notes"
"5306","2003-12-06","Bulls","","• Eddie Robinson","upper respiratory infection (DNP)"
"5307","2003-12-06","Bulls","","• Scottie Pippen (Sr.)","left knee injury (DNP)"
"5308","2003-12-06","Cavaliers","","• DeSagana Diop","recovering from surgery on right knee (DNP)"
"5309","2003-12-06","Heat","","• Caron Butler","left quadricep injury (DNP)"
